INWINDOW,INFOCUS,ID,Total Emp-Purpose-HBO,Retail-Purpose-HBO,Service-Purpose-HBO,Basic-Purpose-HBO,TotEnroll-Purpose-HBO
0,0,571,126385.23435515945,21534.97560926444,75917.67399428796,28932.584751607053,62220.80148239762
0,0,572,134187.2235296316,22312.38990497943,82806.35338749597,29068.48023715621,66270.20528476438
0,0,573,148048.50907234315,24666.68805933952,91299.99164746607,32081.829365537567,73678.55360222697
0,0,574,146164.31235225534,24324.418189378754,89584.33158237663,32255.562580499954,71497.19200146773
0,0,575,143117.60885087596,23823.969546001863,88864.5732323086,30429.066072565485,72424.05996876991
0,0,576,142421.7140410085,23798.803335405813,87482.12165833046,31140.789047272207,71145.78114555612
0,0,577,135528.52902020956,22615.236750323922,84329.26914031344,28584.023129572208,69621.30271155637
0,0,578,141293.8226984161,23640.20762771778,86957.55415272799,30696.060917970328,71123.20289308057
1,0,579,144346.6036626538,22825.391671198307,93904.57259045624,27616.63940099923,71244.71863254538
1,0,580,159253.3538072199,25234.751825950923,103507.12785650951,30511.474124759436,78692.47568465616
1,0,581,161081.40732765626,25462.52289866538,106193.94776818737,29424.93666080352,79820.36241382883
1,0,582,186185.758599763,28829.36591301792,125999.23536144676,31357.15732529835,92406.94489010474
1,0,583,176464.52820992755,27538.007476359304,118959.71138610327,29966.809347464943,88490.83016028901
1,0,584,164507.23280976267,25549.82469071664,111935.64257002571,27021.765549020307,84066.9965919603
1,0,585,150319.67074833534,23605.736257298817,101227.13001972136,25486.80447131515,78663.31555719906
1,0,586,140578.97134303852,22283.024081238294,94085.03456648764,24210.91269531257,73990.94936552532
1,0,587,134384.20814534044,21363.694101491357,87433.48504190161,25587.029001947456,66833.59248191716
1,0,588,136709.41609188588,21979.55056236724,88728.20119119859,26001.664338320054,68432.14922345593
1,0,589,136905.98049589875,21923.51440499941,88185.17202153745,26797.294069361906,67872.93190903509
1,0,590,145722.09486160785,23467.525198615196,94158.64746326052,28095.922199732144,72833.31308449843
1,0,591,152586.7495637506,24753.068581284424,97974.3341375507,29859.34684491549,75742.92648763309
1,0,592,154563.8105202756,25162.59605779032,98066.80561664577,31334.40884583953,75371.94850048183
1,0,593,155388.20251730777,25118.384889564742,98981.90954169998,31287.90808604304,75859.77563622002
1,0,594,152374.45406351372,24976.028089135307,96583.10591481504,30815.320059563368,74609.82617136206
1,0,595,153477.59661209688,25168.777507060247,97247.96612167588,31060.85298336078,75300.45392590942
0,0,596,135701.34890410653,22043.58370364253,86501.44978064523,27156.315419818788,66842.55793507867
0,0,597,136557.82925945794,22340.17147454355,86896.93222694441,27320.725557969992,68874.03378668605
0,0,598,131523.92653267126,21358.497583705248,84417.48554620237,25747.94340276364,66625.03657844789
0,0,599,141010.22570189604,22881.044585947893,90359.58810746783,27769.593008480315,70657.36954222588
0,0,600,138602.4738987896,22372.57080653226,89689.6297384719,26540.273353785436,70121.85318851388
0,0,601,136455.7526361909,22082.21261714488,88211.18052176441,26162.35949728161,69448.22852824403
0,0,602,131595.5135775944,21364.840735271497,85182.94541042116,25047.72743190173,67876.80116944079
0,0,603,140272.41583818084,22983.45169404818,90329.49770175981,26959.466442372846,73686.2615526966
1,0,604,150582.43432822727,24087.357563551213,98253.48153030891,28241.59523436713,75193.55900962737
1,0,605,142613.47962764895,22796.00847949773,93692.82942701512,26124.64172113609,71578.37677826396
1,0,606,137502.69519124163,22064.806377201832,90224.4901855552,25213.39862848458,70155.58741968995
1,0,607,139041.12722389595,22185.35151000181,92044.26297751407,24811.51273638007,71841.98296123547
1,0,608,158167.01726459738,25106.773227058045,105138.94904362476,27921.294993914576,80646.1586277211
1,0,609,164286.26376180266,26081.759729922836,109486.4010660571,28718.102965822723,85899.36723820532
1,0,610,134513.14385847806,21623.99164331813,88287.87836966588,24601.273845494034,69434.97345391949
1,0,611,135934.11340620846,21946.105250937904,88925.59458463847,25062.413570632067,70864.75341181426
0,0,612,130415.65660396176,21308.988543376337,84403.94474591187,24702.72331467356,69628.70246079132
1,0,613,137641.75137263752,22351.465695490482,89695.40103233988,25594.884644807124,72715.52970892805
1,0,614,136117.30152917415,21988.176097809745,89552.28865770185,24576.836773662555,72271.08512903839
0,0,615,131232.46024840354,21432.696557700365,84983.9278052433,24815.835885459896,70059.5626175354
1,0,616,134701.75469123657,21933.841809993944,87970.35130198866,24797.561579253983,71910.51760083987
1,0,617,131178.00276692436,21385.13707038763,85415.09302664502,24377.77266989171,70200.8353082103
0,0,618,131138.93385043525,21498.030285173238,84476.96976300381,25163.933802258176,70271.51616600243
0,0,619,141049.01600715678,23193.04274274078,90866.96281487099,26989.010449544996,74993.17432543838
0,0,620,128192.75091265471,21140.77208952032,81824.39966977188,25227.5791533625,68222.33760978235
0,0,621,149861.39442052686,24725.353631985483,95282.39228721267,29853.648501328702,79278.73205739366
0,0,622,122088.35984894626,20155.09557605302,77882.3125845848,24050.95168830844,64666.28074791209
0,0,623,124025.36179483423,20457.26999653485,78640.67925244494,24927.412545854426,65787.34112949371
0,0,624,139207.6871474588,23028.01929416032,87819.25247625381,28360.415377044672,72678.087669572
1,0,625,175731.12520861687,27113.89353974929,118298.93508288423,30318.29658598338,84877.13687475244
1,0,626,185836.48506168043,28415.893819936762,125938.43822181916,31482.153019924488,89543.50452037029
1,0,627,167135.64554900787,25447.697820517365,114226.41926608844,27461.528462402028,81103.44052706531
